"","lat","lon","crop","average_predicted_yield","uncertainty","start_sowing_date","end_sowing_date","start_harvest_date","end_harvest_date","season"
"229","-12.74996655","13.75002075","MILLET","0.696666622200514","18","01/06","15/07","01/09","15/11","90-120 days"
"230","-12.58329985","13.75002075","MILLET","0.533052008554126","18","01/06","15/07","01/09","15/11","90-120 days"
"231","-12.41663315","13.75002075","MILLET","0.622329241148554","18","01/06","15/07","01/09","15/11","90-120 days"
"232","-12.24996645","13.75002075","MILLET","0.707699315255714","18","01/06","15/07","01/09","15/11","90-120 days"
"233","-12.0832997500000","13.75002075","MILLET","0.663426976959281","18","01/06","15/07","01/09","15/11","90-120 days"
"234","-16.74996735","13.91668745","MILLET","0.717499375389878","18","15/04","31/05","15/09","31/10","90-120 days"
"235","-16.58330065","13.91668745","MILLET","0.675319248836489","18","15/04","31/05","15/09","31/10","90-120 days"
"236","-16.41663395","13.91668745","MILLET","0.555891647638438","18","15/04","31/05","15/09","31/10","90-120 days"
"237","-16.24996725","13.91668745","MILLET","0.6622548656326","18","15/04","31/05","15/09","31/10","90-120 days"
"238","-16.08330055","13.91668745","MILLET","0.662055942744434","18","15/04","31/05","15/09","31/10","90-120 days"
"239","-15.91663385","13.91668745","MILLET","0.662031727064257","18","15/04","31/05","15/09","31/10","90-120 days"
"240","-15.74996715","13.91668745","MILLET","0.62414382350454","18","15/04","31/05","15/09","31/10","90-120 days"
"241","-15.58330045","13.91668745","MILLET","0.618207358229152","18","15/04","31/05","15/09","31/10","90-120 days"
"242","-15.41663375","13.91668745","MILLET","0.68193767440963","18","15/04","31/05","15/09","31/10","90-120 days"
"243","-15.24996705","13.91668745","MILLET","0.670219111493628","18","15/04","31/05","15/09","31/10","90-120 days"
"244","-15.08330035","13.91668745","MILLET","0.593212635058275","18","15/04","31/05","15/09","31/10","90-120 days"
"245","-14.91663365","13.91668745","MILLET","0.734266385263412","18","15/04","31/05","15/09","31/10","90-120 days"
"246","-14.74996695","13.91668745","MILLET","0.657736999143586","18","15/04","31/05","15/09","31/10","90-120 days"
"247","-14.58330025","13.91668745","MILLET","0.603655490990198","18","15/04","31/05","15/09","31/10","90-120 days"
"248","-14.41663355","13.91668745","MILLET","0.570060310473218","18","01/06","15/07","01/09","15/11","90-120 days"
"249","-14.24996685","13.91668745","MILLET","0.632963665493464","18","01/06","15/07","01/09","15/11","90-120 days"
"250","-14.08330015","13.91668745","MILLET","0.561140953846852","18","01/06","15/07","01/09","15/11","90-120 days"
"251","-13.91663345","13.91668745","MILLET","0.611570228776578","18","01/06","15/07","01/09","15/11","90-120 days"
"252","-13.74996675","13.91668745","MILLET","0.668191621792007","18","01/06","15/07","01/09","15/11","90-120 days"
"253","-13.58330005","13.91668745","MILLET","0.665239983445169","18","01/06","15/07","01/09","15/11","90-120 days"
